school_name,school_url
四川师范大学,10450
四川外国语大学,3138
四川音乐学院,59
苏州大学,45576
太原理工大学,13190
南京农业大学,17771
南京师范大学,21960
南京水利科学研究院,120
南京体育学院,267
清华大学,10543
曲阜师范大学,10302
日本一桥大学(Hitotsubashi University),1
瑞典农业科学大学(Swedish University of Agricultural Sciences),1
山西医科大学,11918
陕西科技大学,2320
陕西师范大学,21362
鲁东大学,2669
鲁迅美术学院,329
中钢集团马鞍山矿山研究院,2
煤炭科学研究总院,320
石油化工科学研究院,73
石油勘探开发科学研究院,1
首都经济贸易大学,9023
首都师范大学,9630
首都体育学院,1558
上海师范大学,15914
上海海洋大学,2357
上海体育学院,1597
上海外国语大学,6892
上海戏剧学院,652
中国铁道科学研究院,617
同济大学,5153
外交学院,3110
皖南医学院,965
五邑大学,572
中共四川省委党校,37
西安美术学院,1227
泰山医学院,1660
天津财经大学,5073
天津城建大学,179
天津大学,48761
天津工业大学,2518
云南财经大学,3387
厦门大学,15681
首都医科大学,462
四川大学,17727
四川抗菌素工业研究所,17
四川美术学院,11
四川农业大学,10240
上海医药工业研究院,116
上海音乐学院,1505
上海中医药大学,1
深圳大学,1194
武汉大学,11509
武汉科技大学,5798
武汉理工大学,25597
武汉生物制品研究所,12
武汉体育学院,2045
中共浙江省委党校,79
中共中央党校,2998
中国测绘科学研究院,98
中国城市规划设计研究院,52
西安石油大学,4173
西安体育学院,1320
西安音乐学院,896
西北大学,22993
天津科技大学,3514
天津理工大学,4143
天津美术学院,478
天津商业大学,2266
云南大学,15080
云南民族大学,304
云南农业大学,242
云南师范大学,7802
香港浸会大学(Hong Kong Baptist University),1
湘潭大学,17724
新疆财经大学,1876
新疆大学,9100
新疆农业大学,5001
武汉音乐学院,718
武汉邮电科学研究院,486
西安电子科技大学,29797
西安工程大学,1992
中国传媒大学,298
中国船舶及海洋工程设计研究院,8
中国船舶科学研究中心,9
中国地震局地壳应力研究所,20
西北工业大学,8365
西北民族大学,2244
西北农林科技大学,23127
西北师范大学,12278
天津师范大学,7338
天津体育学院,232
天津外国语大学,138
天津医科大学,10253
天津音乐学院,741
中国科学院研究生院(等离子体物理研究所),1
中国海洋大学,24408
云南中医学院,822
浙江大学,67448
浙江工商大学,5460
浙江工业大学,12414
浙江师范大学,7215
新疆师范大学,4493
新疆医科大学,8471
新乡医学院,1208
信阳师范学院,981
烟台大学,1934
西安工业大学,2885
西安建筑科技大学,15462
西安交通大学,137
西安科技大学,6969
中国地震局地球物理研究所,323
中国地震局地震预测研究所,186
中国地震局地质研究所,362
中国地震局工程力学研究所,683
中国地震局兰州地震研究所,141
西华大学,4069
西南财经大学,19258
西南交通大学,34373
西南科技大学,1816
西南林业大学,276
中国科学院研究生院(地球化学研究所),87
中国科学院研究生院(地球环境研究所),38
中国科学院研究生院(地质与地球物理研究所),6
中国科学院研究生院(电工研究所),186
中国科学院研究生院(电子学研究所),365
中国航天机电集团第二研究院,22
中国环境科学研究院,156
中国疾病预防控制中心,1326
中国建筑材料科学研究总院,160
中国建筑科学研究院,185
浙江中医药大学,803
郑州大学,33223
郑州轻工业学院,146
中北大学,6627
中共北京市委党校,88
延安大学,2304
延边大学,10273
燕山大学,14512
扬州大学,13733
中国科学院研究生院(对地观测与数字地球科学中心),1
西安理工大学,7581
中国地质大学,3008
中国地质大学(北京),12316
中国电波传播研究所,11
中国电力科学研究院,255
中国电影艺术研究中心,94
